代號,名稱,年月,分類,資本適足率,股本,資產,權益,稅前損益,授信總額,存款,放款,權益比率,資產報酬率(稅前),存放比率,催收款,逾期放款,甲類逾期放款,乙類逾期放款,放款(含催收款),逾放比率,備抵呆帳,備抵呆帳覆蓋率,收益總計,費損總計,淨收益,利息收入,利息費用,淨利息總收益比,風險承受性
2838,聯邦銀,2016/11,表現穩健,13.47,26052,533509,36150,3108,308269,431026,289717,6.78,0.58,67.22,172,271,235,37,289889,0.09,3186,11.76 ,13177,10442,2735,8344,3166,1.893235832,0.005126436
2845,遠東銀,2016/11,風險承受度稍弱,13.14,31114,553046,41007,3499,372253,437671,349968,7.41,0.63,79.96,295,629,442,187,350263,0.18,4938,7.85 ,20653,18667,1986,7998,4073,1.97633434,0.003591021
2847,大眾銀,2016/11,#N/A,#N/A,36372,451574,43400,1678,301783,354902,280730,9.61,0.37,79.1,785,939,414,525,281515,0.33,4303,4.58 ,15136,12026,3110,6079,2516,1.145659164,0.006887022
2849,安泰銀,2016/11,表現穩健,13.32,16797,299313,30368,1418,189940,245261,179429,10.15,0.47,73.16,2132,2299,1654,644,181562,1.27,2851,1.24 ,9895,8194,1701,5013,2459,1.501469724,0.005683014
2893,新光銀行,2016/11,風險承受度稍弱,12.68,34354,763951,49163,4885,517109,646218,497124,6.44,0.64,76.93,879,1296,968,328,498003,0.26,6283,4.85 ,23947,19244,4703,11747,3995,1.64830959,0.006156154
28944,中輸銀,2016/11,表現穩健,31.96,22000,111662,24416,546,118781,0,103095,21.87,0.49,0,218,218,218,0,103314,0.21,1049,4.81 ,1223,1223,0,721,107,#DIV/0!,0
2895,陽信銀,2016/11,風險承受度稍弱,11.41,18645,387323,22710,2676,263517,339354,260339,5.86,0.69,76.72,113,215,114,101,260452,0.08,2834,13.18 ,8534,6055,2479,6200,2579,1.460669625,0.006400343
2897,王道銀行,2016/11,表現穩健,14.80,23905,270716,29469,1743,152469,156455,141116,10.89,0.64,90.2,28,28,28,0,141145,0.02,2296,82.00 ,10513,9704,809,1943,915,1.270704574,0.002988372
5827,華泰銀行,2016/11,風險承受度稍弱,12.25,8188,147142,9560,83,90959,130095,89947,6.5,0.06,69.14,716,1042,735,307,90663,1.15,1186,1.14 ,4254,3824,430,2263,868,3.244186047,0.002922347
5830,三信銀行,2016/11,風險承受度稍弱,10.32,6371,152159,8528,776,115765,137212,113216,5.6,0.51,82.51,154,303,131,172,113369,0.27,2001,6.60 ,3469,2701,768,3115,932,2.842447917,0.005047352
5835,國泰世華,2016/11,表現穩健,14.19,72100,2519488,156234,18345,1368533,2017778,1353786,6.2,0.73,67.09,2089,2347,2089,258,1355875,0.17,19508,8.31 ,90400,79805,10595,24411,10803,1.284379424,0.004205219
5836,台北富邦銀,2016/11,表現穩健,14.37,106518,2127749,174999,16842,1163728,1644492,1113658,8.22,0.79,67.72,2160,2281,2247,35,1115818,0.2,14166,6.21 ,149060,138706,10354,19259,9466,0.945818041,0.004866175
5838,華銀,2016/11,風險承受度稍弱,12.83,73576,2471085,162004,13946,1605957,2038779,1564693,6.56,0.56,76.75,3276,4359,3276,1083,1567969,0.28,18357,4.21 ,54051,45663,8388,27889,9877,2.147353362,0.00339446
5841,中信銀,2016/11,表現穩健,15.17,129821,2725622,248666,24973,1624163,2133442,1544462,9.12,0.92,72.39,4368,5447,4096,1351,1548830,0.35,21831,4.01 ,92040,75063,16977,28386,10057,1.079637156,0.00622867
5843,兆豐商銀,2016/11,表現穩健,14.33,85362,2845600,257574,22472,1946625,2172976,1712709,9.05,0.79,78.82,1714,2187,1984,203,1714423,0.13,25155,11.50 ,38452,25630,12822,22753,9034,1.069957885,0.004505904
5844,一銀,2016/11,風險承受度稍弱,13.27,89064,2467424,190048,18797,1617916,1927018,1530665,7.7,0.76,79.43,3571,3035,1742,1294,1534237,0.2,18227,6.01 ,105303,92200,13103,25402,8998,1.25192704,0.005310397
5847,玉山銀,2016/11,表現穩健,13.68,72629,1818770,125773,15085,1127080,1495994,1101255,6.92,0.83,73.61,1438,2124,1429,695,1102693,0.19,13127,6.18 ,53113,43980,9133,21089,7919,1.442023432,0.005021526
5848,台新銀,2016/11,表現穩健,14.22,59755,1517861,100870,11462,963582,1109366,899468,6.65,0.76,81.08,2215,2270,2086,184,901683,0.25,12275,5.41 ,53900,43765,10135,20125,8069,1.189541194,0.00667716
5849,永豐銀行,2016/11,風險承受度稍弱,12.58,83955,1494025,119901,7108,900311,1190822,873885,8.03,0.48,73.39,2307,3003,2780,223,876192,0.34,11684,3.89 ,41057,37793,3264,15522,7615,2.422487745,0.002184702
5850,日盛銀行,2016/11,風險承受度稍弱,13.00,16656,227265,19065,689,143402,188925,142014,8.39,0.3,75.17,168,312,238,74,142183,0.22,1817,5.82 ,5388,4951,437,2658,1075,3.622425629,0.001922865
5852,元大銀,2016/11,風險承受度稍弱,13.06,41522,855917,58044,5997,518697,710509,488348,6.78,0.7,68.73,829,966,909,58,489177,0.2,6692,6.93 ,25931,22447,3484,9722,4411,1.524397245,0.004070488
5854,合庫,2016/11,風險承受度稍弱,12.91,85863,3094955,189805,13538,2038730,2537379,1949529,6.13,0.44,76.83,6667,7621,6447,1174,1956196,0.39,23230,3.05 ,64357,54875,9482,38893,15733,2.442522675,0.003063696
5857,土銀,2016/11,風險承受度稍弱,11.61,62594,2664275,134442,12161,1850651,2300466,1799894,5.05,0.46,78.24,2925,3677,3091,586,1802819,0.2,28742,7.82 ,41766,32042,9724,33164,14345,1.935314685,0.003649773
5858,臺銀,2016/11,風險承受度稍弱,12.06,95000,4790542,275297,18936,2374893,3846860,2282553,5.75,0.4,59.34,4942,6697,4682,2015,2287495,0.29,32107,4.79 ,273473,258780,14693,44036,28728,1.041856666,0.003067085
5862,板信銀,2016/11,風險承受度稍弱,9.97,12627,231106,13477,566,145468,205987,139683,5.83,0.24,67.81,1922,1958,1950,8,141606,1.38,1941,0.99 ,5293,4895,398,3251,1433,4.567839196,0.001722153
5863,瑞興銀,2016/11,風險承受度稍弱,11.22,2733,77490,5213,176,46131,63136,45555,6.73,0.23,72.15,53,81,76,5,45607,0.18,530,6.54 ,1372,1195,177,1073,433,3.615819209,0.002284166
5870,花旗台灣,2016/11,表現穩健,14.44,66033,869220,95847,9235,304417,663584,287239,11.03,1.06,43.29,96,1197,411,786,287335,0.42,4718,3.94 ,25070,18222,6848,10364,1426,1.305198598,0.007878328
5872,匯豐台灣,2016/11,表現穩健,14.48,34800,690696,49938,4515,256258,414760,230256,7.23,0.65,55.52,32,71,31,40,230288,0.03,2849,40.13 ,13222,9973,3249,5452,2408,0.936903663,0.004703951
5875,星展台灣,2016/11,風險承受度稍弱,13.12,30000,348705,31842,283,237160,277613,203336,9.13,0.08,73.24,1195,1804,1566,238,204531,0.88,3054,1.69 ,7627,7462,165,4598,1854,16.63030303,0.000473179
5876,上海商銀,2016/11,風險承受度稍弱,13.16,40791,1009198,116819,12318,609339,772261,564012,11.58,1.22,73.03,1723,2039,1940,99,565735,0.36,9401,4.61 ,27854,18636,9218,11485,4276,0.782056845,0.009133986
5879,澳盛台灣,2016/11,#N/A,#N/A,23618,207531,26054,855,117452,135553,99163,12.55,0.41,73.15,328,496,491,5,99491,0.5,1789,3.61 ,4983,4227,756,2541,712,2.419312169,0.003642829
2801,彰銀,2016/10,風險承受度稍弱,12.01,89648,1952405,136592,12003,1374143,1575644,1312446,7,0.61,83.3,3074,3603,2853,750,1315520,0.27,15621,4.34 ,41563,34786,6777,19971,7606,1.824553637,0.003471104
2807,渣打銀行,2016/10,表現穩健,15.07,29106,598392,42258,820,277016,454389,266840,7.06,0.14,58.73,1079,1874,1348,526,267918,0.7,5059,2.70 ,11586,10786,800,6644,2274,5.4625,0.001336916
2809,京城銀,2016/10,表現穩健,15.73,11512,241458,32763,4602,132013,172681,127022,13.57,1.91,73.56,22,31,21,10,127045,0.02,2027,65.39 ,6172,3277,2895,3522,978,0.878756477,0.011989663
2812,台中銀,2016/10,風險承受度稍弱,10.25,32381,604228,41336,3353,434507,524915,415302,6.84,0.55,79.12,2265,2624,2274,350,417567,0.63,6494,2.47 ,11215,8118,3097,8643,3038,1.809815951,0.005125549
2834,臺企銀,2016/10,風險承受度稍弱,11.91,59689,1471185,70838,5296,1053272,1277880,1037295,4.82,0.36,81.17,3785,4798,4325,473,1041079,0.46,11562,2.41 ,22948,18881,4067,17065,7096,2.451192525,0.002764438
2836,高雄銀,2016/10,風險承受度稍弱,9.73,8232,256611,12516,586,176869,227397,172818,4.88,0.23,76,782,974,782,191,173601,0.56,2083,2.14 ,3891,3646,245,3018,1454,6.383673469,0.000954753
2837,凱基銀行,2016/10,風險承受度稍弱,13.23,46062,560422,59060,3896,274838,355070,251840,10.54,0.7,70.93,512,882,561,321,252352,0.35,3357,3.81 ,74260,72453,1807,5637,2218,1.892086331,0.003224356
2838,聯邦銀,2016/10,表現穩健,13.47,26052,534738,36543,2855,297617,432292,278403,6.83,0.53,64.4,139,258,221,36,278542,0.09,3099,12.01 ,12023,9479,2544,7601,2908,1.844732704,0.00475747
2845,遠東銀,2016/10,風險承受度稍弱,13.14,31114,560505,40744,3121,370080,440568,345929,7.27,0.56,78.52,608,931,763,168,346537,0.27,4602,4.94 ,18508,16682,1826,7288,3721,1.953450164,0.003257776
2847,大眾銀,2016/10,#N/A,#N/A,36372,434152,43284,1391,298774,333459,276410,9.97,0.32,82.89,724,866,424,442,277134,0.31,3988,4.61 ,14116,11300,2816,5554,2315,1.150213068,0.006486208
2849,安泰銀,2016/10,表現穩健,13.32,16797,298058,30300,1284,189214,244827,178279,10.17,0.43,72.82,2140,2324,1662,661,180419,1.29,2684,1.15 ,8960,7490,1470,4584,2255,1.584353741,0.004931926
2893,新光銀行,2016/10,風險承受度稍弱,12.68,34354,772892,49071,4388,510991,670931,489740,6.35,0.57,72.99,764,1294,910,384,490505,0.26,6183,4.78 ,22127,17955,4172,10708,3676,1.685522531,0.005397908
28944,中輸銀,2016/10,表現穩健,31.96,22000,110391,24306,480,118455,0,101886,22.02,0.43,0,218,218,218,0,102103,0.21,1039,4.77 ,1131,1136,-5,656,96,-112,-4.52935E-05
2895,陽信銀,2016/10,風險承受度稍弱,11.41,18483,385058,22494,2439,259079,341294,255579,5.84,0.63,74.89,96,194,97,97,255675,0.08,2814,14.51 ,7851,5590,2261,5646,2355,1.455550641,0.005871843
2897,王道銀行,2016/10,表現穩健,14.80,23905,263531,29565,1645,147819,163812,135945,11.22,0.62,82.99,358,358,358,0,136303,0.26,2299,6.42 ,9767,9098,669,1766,839,1.385650224,0.002538601
5827,華泰銀行,2016/10,風險承受度稍弱,12.25,8188,149512,9680,156,91228,131383,90249,6.47,0.1,68.69,684,1062,699,363,90933,1.17,1134,1.07 ,3820,3540,280,2063,790,4.546428571,0.001872759
5830,三信銀行,2016/10,風險承受度稍弱,10.32,6371,150000,8483,701,113898,137140,112167,5.66,0.47,81.79,157,383,147,236,112324,0.34,2081,5.43 ,3164,2471,693,2835,852,2.861471861,0.00462
5835,國泰世華,2016/10,表現穩健,14.19,72100,2484909,156057,17066,1330216,2013892,1314708,6.28,0.69,65.28,2046,2312,2045,267,1316754,0.18,18995,8.22 ,84321,74282,10039,22253,9875,1.232991334,0.004039987
5836,台北富邦銀,2016/10,表現穩健,14.37,106518,2081030,174396,15855,1166125,1618795,1115191,8.38,0.76,68.89,2275,2416,2391,25,1117466,0.22,14388,5.96 ,149339,139434,9905,17569,8670,0.898435134,0.004759662
5838,華銀,2016/10,風險承受度稍弱,12.83,73576,2490643,161394,12411,1597618,2068412,1556377,6.48,0.5,75.25,3801,4570,3227,1343,1560178,0.29,18309,4.01 ,50630,43434,7196,25410,9029,2.276403558,0.002889214
5841,中信銀,2016/10,表現穩健,15.17,129821,2721630,250647,23189,1637124,2138115,1552724,9.21,0.85,72.62,4303,5177,4190,987,1557027,0.33,21406,4.13 ,82853,67619,15234,25889,9192,1.096035184,0.005597381
5843,兆豐商銀,2016/10,表現穩健,14.33,85362,2907376,256387,20416,1974708,2171328,1728185,8.82,0.7,79.59,1602,1958,1811,147,1729787,0.11,24852,12.69 ,35665,24295,11370,20738,8295,1.094371152,0.003910743
5844,一銀,2016/10,風險承受度稍弱,13.27,89064,2439440,188742,17247,1602869,1934552,1514930,7.74,0.71,78.31,3268,3066,1362,1705,1518198,0.2,18137,5.92 ,97761,85647,12114,23145,8247,1.229816741,0.004965894
5847,玉山銀,2016/10,表現穩健,13.68,72629,1803093,125045,13874,1108918,1485101,1084485,6.94,0.77,73.02,1339,2104,1444,660,1085825,0.19,12883,6.12 ,49790,41350,8440,19197,7278,1.412203791,0.004680846
5848,台新銀,2016/10,表現穩健,14.22,59755,1500152,100468,10630,949777,1093184,885394,6.7,0.71,80.99,2422,2183,1997,186,887816,0.25,12139,5.56 ,50880,41279,9601,18357,7384,1.142901781,0.006400018
5849,永豐銀行,2016/10,風險承受度稍弱,12.58,83955,1457322,119625,6629,883177,1178941,856448,8.21,0.45,72.65,2266,2927,2713,214,858714,0.34,11540,3.94 ,37800,34748,3052,14168,6963,2.360747051,0.002094252
5850,日盛銀行,2016/10,風險承受度稍弱,13.00,16656,224952,19196,545,141829,189519,140400,8.53,0.24,74.08,227,346,285,61,140627,0.25,1818,5.25 ,4927,4564,363,2426,988,3.961432507,0.001613678
5852,元大銀,2016/10,風險承受度稍弱,13.06,41522,835073,58032,5595,509177,698212,478402,6.95,0.67,68.52,823,993,931,62,479226,0.21,6429,6.47 ,23930,20764,3166,8871,4029,1.529374605,0.003791285
5854,合庫,2016/10,風險承受度稍弱,12.91,85863,3105821,190111,12189,2041899,2557428,1954344,6.12,0.39,76.42,6494,7570,6698,872,1960838,0.39,21784,2.88 ,60246,51722,8524,35500,14415,2.473603942,0.002744524
5857,土銀,2016/10,風險承受度稍弱,11.61,62594,2659533,134691,11140,1859152,2300198,1807565,5.06,0.42,78.58,3323,4041,3394,647,1810888,0.22,27810,6.88 ,38085,29154,8931,30239,13137,1.914903146,0.003358108
5858,臺銀,2016/10,風險承受度稍弱,12.06,95000,4800462,274063,18475,2462522,3877208,2369073,5.71,0.38,61.1,5359,6651,5016,1635,2374432,0.28,30988,4.66 ,241439,226914,14525,40313,26281,0.96605852,0.00302575
5862,板信銀,2016/10,風險承受度稍弱,9.97,12627,227892,13551,585,145174,203186,139544,5.95,0.26,68.68,1814,1850,1815,36,141358,1.31,1890,1.02 ,4885,4454,431,2966,1299,3.86774942,0.001891247
5863,瑞興銀,2016/10,風險承受度稍弱,11.22,2733,79028,5212,170,44871,63192,44148,6.6,0.22,69.86,53,79,71,9,44200,0.18,522,6.61 ,1231,1062,169,979,396,3.449704142,0.002138483
5870,花旗台灣,2016/10,表現穩健,14.44,66033,828071,95438,8404,299530,669592,282853,11.53,1.01,42.24,107,1227,452,776,282960,0.43,4766,3.88 ,23136,16937,6199,9466,1311,1.315534764,0.007486073
5872,匯豐台灣,2016/10,表現穩健,14.48,34800,687067,49759,4291,272791,400032,230444,7.24,0.62,57.61,33,69,32,38,230477,0.03,2846,41.25 ,12201,9111,3090,4997,2197,0.906148867,0.004497378
5875,星展台灣,2016/10,風險承受度稍弱,13.12,30000,337749,31756,192,236456,267328,205371,9.4,0.06,76.82,1156,1761,1504,257,206527,0.85,3059,1.74 ,7218,7045,173,4194,1713,14.34104046,0.000512215
5876,上海商銀,2016/10,風險承受度稍弱,13.16,40791,1012867,116530,11220,609673,769777,564731,11.5,1.11,73.36,1511,1784,1602,182,566242,0.32,9368,5.25 ,25192,16761,8431,10487,3939,0.776657573,0.008323896
5879,澳盛台灣,2016/10,#N/A,#N/A,23618,207286,25962,738,122290,134723,104284,12.52,0.36,77.41,323,489,488,1,104607,0.47,1798,3.68 ,4700,4030,670,2317,644,2.497014925,0.003232249
2801,彰銀,2016/09,風險承受度稍弱,12.21,89648,1981149,135930,10908,1371062,1566339,1311484,6.86,0.55,83.73,3174,3483,2951,532,1314658,0.26,15777,4.53 ,39107,32865,6242,18053,6899,1.786927267,0.003150697
2807,渣打銀行,2016/09,表現穩健,14.90,29106,612293,42509,945,287398,488664,273652,6.94,0.15,56,1059,1866,1359,508,274711,0.68,5021,2.69 ,10444,9525,919,6012,2058,4.30250272,0.001500915
2809,京城銀,2016/09,表現穩健,15.59,11512,238990,32663,4126,132142,171255,127268,13.67,1.73,74.31,24,30,22,7,127292,0.02,2054,68.47 ,5832,3113,2719,3188,891,0.844795881,0.011377045
2812,台中銀,2016/09,風險承受度稍弱,10.52,32381,595668,41049,2962,430007,521250,411316,6.89,0.5,78.91,2229,2527,2211,317,413545,0.61,6406,2.54 ,10122,7351,2771,7787,2756,1.81559004,0.00465192
2834,臺企銀,2016/09,風險承受度稍弱,12.17,59689,1480692,71130,4770,1043650,1270084,1027728,4.8,0.32,80.92,3923,4827,4387,440,1031651,0.47,11614,2.41 ,20858,17161,3697,15385,6416,2.426021098,0.002496806
2836,高雄銀,2016/09,風險承受度稍弱,10.05,8232,256238,12516,527,177329,224076,173278,4.88,0.21,77.33,833,992,833,160,174111,0.57,2194,2.21 ,3539,3318,221,2729,1319,6.380090498,0.000862479
2837,凱基銀行,2016/09,表現穩健,14.61,46062,549478,59238,3441,279596,345221,254839,10.78,0.63,73.82,494,853,515,337,255334,0.33,3368,3.95 ,62267,61017,1250,5068,2004,2.4512,0.002274886
2838,聯邦銀,2016/09,風險承受度稍弱,13.15,26052,525910,36361,2509,295008,429539,276365,6.91,0.48,64.34,129,252,210,42,276494,0.09,3102,12.31 ,10887,8602,2285,6858,2646,1.843326039,0.00434485
2845,遠東銀,2016/09,表現穩健,13.70,31114,557648,40535,2819,369743,438369,343781,7.27,0.51,78.42,624,921,775,146,344405,0.27,4548,4.94 ,16604,15094,1510,6579,3368,2.126490066,0.002707801
2847,大眾銀,2016/09,#N/A,#N/A,36372,430775,43020,989,298257,327686,276236,9.99,0.23,84.3,893,1034,677,358,277129,0.37,4377,4.23 ,12985,10549,2436,5013,2108,1.192528736,0.005654924
2849,安泰銀,2016/09,表現穩健,13.54,16797,303090,30187,1078,193613,247627,183273,9.96,0.36,74.01,1659,1835,1549,287,184932,0.99,2661,1.45 ,8246,6981,1265,4144,2039,1.664031621,0.004173678
2893,新光銀行,2016/09,風險承受度稍弱,12.75,34354,764278,48859,3974,513171,661996,491851,6.39,0.52,74.3,731,1274,856,417,492581,0.26,6121,4.80 ,19915,16066,3849,9644,3338,1.638347623,0.005036126
28944,中輸銀,2016/09,表現穩健,30.25,22000,108073,24197,412,115787,0,99338,22.39,0.38,0,217,217,217,0,99555,0.22,1022,4.71 ,1031,1046,-15,591,86,-33.66666667,-0.000138795
2895,陽信銀,2016/09,風險承受度稍弱,11.06,18483,389322,22575,2208,258261,339219,255172,5.8,0.57,75.22,61,223,87,136,255233,0.09,2823,12.66 ,7129,5080,2049,5072,2127,1.437286481,0.005262996
2897,王道銀行,2016/09,表現穩健,14.36,23905,264923,29648,1524,146642,164947,134834,11.19,0.58,81.74,389,389,389,0,135224,0.29,2452,6.30 ,9104,8507,597,1588,759,1.388609715,0.002253485
5827,華泰銀行,2016/09,風險承受度稍弱,12.05,8188,148833,9688,153,91704,130692,90807,6.51,0.1,69.48,580,1145,567,579,91387,1.25,1102,0.96 ,3525,3242,283,1861,711,4.06360424,0.00190146
5830,三信銀行,2016/09,風險承受度稍弱,9.67,6371,149744,8441,622,113509,136804,111819,5.64,0.42,81.74,146,347,144,203,111964,0.31,2080,5.99 ,2857,2242,615,2553,772,2.895934959,0.004107009
5835,國泰世華,2016/09,表現穩健,14.82,72100,2459523,155409,15472,1306298,1990707,1290853,6.32,0.63,64.84,1923,2186,1922,264,1292776,0.17,18950,8.67 ,71822,62710,9112,20055,8913,1.222783143,0.003704783
5836,台北富邦銀,2016/09,表現穩健,14.39,106518,2087522,173538,14511,1176740,1620060,1128559,8.31,0.7,69.66,1705,2161,2107,54,1130263,0.19,14331,6.63 ,135944,126889,9055,15827,7855,0.88039757,0.004337679
5838,華銀,2016/09,風險承受度稍弱,12.71,73576,2493626,160728,11376,1592317,2034379,1536841,6.45,0.46,75.54,3294,4120,2974,1146,1540135,0.27,17409,4.23 ,46361,39757,6604,22865,8147,2.228649303,0.002648352
5841,中信銀,2016/09,表現穩健,14.27,129821,2703304,250240,20945,1605268,2132612,1519073,9.26,0.77,71.23,4134,4921,3850,1071,1523207,0.32,20924,4.25 ,75461,62082,13379,23270,8329,1.116750131,0.004949129
5843,兆豐商銀,2016/09,表現穩健,13.99,85362,2909699,254646,18079,1973830,2187218,1726760,8.75,0.62,78.95,1790,2361,2204,156,1728549,0.14,25008,10.59 ,32585,22138,10447,18671,7488,1.070450847,0.003590406
5844,一銀,2016/09,表現穩健,13.36,89064,2455741,187907,15869,1602732,1916944,1514257,7.65,0.65,78.99,3075,3105,1726,1379,1517331,0.2,18276,5.89 ,88127,76868,11259,20855,7476,1.188293809,0.004584767
5847,玉山銀,2016/09,表現穩健,13.96,72629,1808899,124389,12809,1100396,1479683,1074085,6.88,0.71,72.59,1265,2066,1323,742,1075350,0.19,12882,6.24 ,47080,39443,7637,17264,6617,1.394133822,0.004221905
5848,台新銀,2016/09,風險承受度稍弱,12.69,59755,1507271,99738,9654,949268,1092235,884637,6.62,0.64,80.99,2340,2117,1933,185,886977,0.24,12041,5.69 ,46538,37830,8708,16519,6679,1.129995407,0.005777329
5849,永豐銀行,2016/09,風險承受度稍弱,12.84,83955,1455186,119118,6051,874792,1176064,847389,8.19,0.42,72.05,2158,2861,2634,226,849547,0.34,11430,4.00 ,33050,30193,2857,12781,6280,2.275463773,0.001963323
5850,日盛銀行,2016/09,表現穩健,13.81,16656,225603,19439,493,141973,189985,140542,8.62,0.22,73.98,222,301,262,39,140764,0.21,1800,5.98 ,4502,4143,359,2186,898,3.587743733,0.001591291
5852,元大銀,2016/09,風險承受度稍弱,13.17,41522,833664,57794,5081,511891,697480,480609,6.93,0.61,68.91,899,1033,1008,26,481508,0.21,6304,6.10 ,20722,17716,3006,7998,3638,1.450432468,0.003605769
5854,合庫,2016/09,風險承受度稍弱,12.84,85863,3121440,190485,10955,2041404,2556353,1953134,6.1,0.35,76.4,5866,6997,6222,775,1959000,0.36,21600,3.09 ,56129,48477,7652,32048,13073,2.479743858,0.002451433
5857,土銀,2016/09,風險承受度稍弱,11.51,58100,2642108,135241,10142,1853572,2274907,1802035,5.12,0.38,79.21,3245,3873,3265,608,1805280,0.21,27744,7.16 ,34457,26257,8200,27245,11871,1.874878049,0.003103582
5858,臺銀,2016/09,風險承受度稍弱,12.07,95000,4838994,273843,18025,2455199,3862841,2363113,5.66,0.37,61.18,5245,6402,4875,1527,2368358,0.27,30905,4.83 ,216475,202034,14441,36504,23805,0.879371235,0.002984298
5862,板信銀,2016/09,風險承受度稍弱,10.42,12627,226372,13597,602,143946,200467,138449,6.01,0.27,69.06,1596,1647,1617,30,140045,1.18,1843,1.12 ,4434,3975,459,2671,1161,3.289760349,0.002027636
5863,瑞興銀,2016/09,風險承受度稍弱,11.20,2733,77678,5164,110,44826,63979,44278,6.65,0.14,69.21,53,56,49,7,44332,0.13,484,8.64 ,1020,911,109,886,358,4.844036697,0.001403229
5870,花旗台灣,2016/09,表現穩健,14.24,66033,816068,94992,7744,300292,608669,284766,11.64,0.95,46.79,104,1133,379,754,284870,0.4,4647,4.10 ,21227,15487,5740,8549,1188,1.282404181,0.007033728
5872,匯豐台灣,2016/09,表現穩健,14.34,34800,699320,49406,3889,273956,399043,227271,7.06,0.56,56.95,35,60,32,28,227307,0.03,2824,47.07 ,10736,7966,2770,4511,1959,0.921299639,0.003960991
5875,星展台灣,2016/09,表現穩健,13.35,30000,357051,31748,159,237802,269511,203227,8.89,0.04,75.41,1099,1734,1473,260,204326,0.85,2946,1.70 ,6545,6293,252,3747,1563,8.666666667,0.000705782
5876,上海商銀,2016/09,表現穩健,13.85,40791,1019949,115895,10077,608858,764263,563703,11.36,0.99,73.76,1454,1719,1519,200,565157,0.3,9192,5.35 ,22882,15286,7596,9461,3576,0.774749868,0.007447431
5879,澳盛台灣,2016/09,#N/A,#N/A,23618,226218,25886,643,124389,141461,102536,11.44,0.28,72.48,322,486,484,2,102858,0.47,1761,3.62 ,4279,3718,561,2109,600,2.689839572,0.002479909
2801,彰銀,2016/08,風險承受度稍弱,12.21,89648,1953120,135338,10051,1362496,1569670,1311921,6.93,0.51,83.58,2947,3189,2848,340,1314868,0.24,15688,4.92 ,35519,29742,5777,16184,6204,1.727540246,0.002957832
2807,渣打銀行,2016/08,表現穩健,14.90,29106,618465,42668,738,280459,476131,271514,6.9,0.12,57.03,912,1647,1057,590,272426,0.6,5059,3.07 ,9341,8548,793,5385,1853,4.453972257,0.001282207
2809,京城銀,2016/08,表現穩健,15.59,11512,240418,32491,3641,130470,171231,125498,13.51,1.51,73.29,27,31,25,6,125525,0.02,2026,65.35 ,5363,2979,2384,2855,800,0.861996644,0.009916063
2812,台中銀,2016/08,風險承受度稍弱,10.52,32381,602915,40715,2596,428502,525822,411493,6.75,0.43,78.26,2212,2467,2186,281,413704,0.6,6184,2.51 ,8968,6475,2493,6937,2474,1.790212595,0.004134911
2834,臺企銀,2016/08,風險承受度稍弱,12.17,59689,1473947,71076,4245,1044029,1274229,1028003,4.82,0.29,80.68,3835,4700,4376,323,1031838,0.46,11578,2.46 ,18797,15480,3317,13737,5742,2.410310522,0.00225042
2836,高雄銀,2016/08,風險承受度稍弱,10.05,8232,255325,12456,469,176979,227005,173066,4.88,0.18,76.24,842,1009,842,166,173909,0.58,2171,2.15 ,3171,2972,199,2439,1183,6.311557789,0.000779399
2837,凱基銀行,2016/08,表現穩健,14.61,46062,546345,59432,3388,270828,343266,245814,10.88,0.62,71.61,555,741,563,179,246370,0.3,3379,4.56 ,55475,54207,1268,4512,1795,2.142744479,0.002320878
2838,聯邦銀,2016/08,風險承受度稍弱,13.15,26052,530918,36233,2244,298817,430956,279394,6.82,0.42,64.83,143,277,235,41,279536,0.1,3119,11.26 ,9804,7750,2054,6119,2381,1.819863681,0.003868771
2845,遠東銀,2016/08,表現穩健,13.70,31114,556453,40306,2527,365880,442374,342249,7.24,0.45,77.37,669,969,818,151,342918,0.28,4578,4.72 ,14680,13288,1392,5867,3016,2.048132184,0.002501559
2847,大眾銀,2016/08,#N/A,#N/A,36372,426778,42916,811,297029,326545,275958,10.06,0.19,84.51,958,1004,405,598,276915,0.36,4430,4.41 ,11709,9514,2195,4485,1907,1.174487472,0.005143189
2849,安泰銀,2016/08,表現穩健,13.54,16797,301108,30056,917,190583,243653,180114,9.98,0.3,73.92,1582,1755,1551,204,181696,0.97,2603,1.48 ,7507,6360,1147,3706,1830,1.635571055,0.003809264
2893,新光銀行,2016/08,風險承受度稍弱,12.75,34354,773718,48647,3613,506881,667989,486167,6.29,0.47,72.78,676,990,680,311,486844,0.2,6163,6.23 ,18068,14729,3339,8620,3008,1.680742737,0.004315526
28944,中輸銀,2016/08,表現穩健,30.25,22000,108514,24225,356,115903,0,100018,22.32,0.33,0,219,219,219,0,100237,0.22,999,4.56 ,923,934,-11,527,76,-41,-0.000101369
2895,陽信銀,2016/08,風險承受度稍弱,11.06,18483,385369,22437,1972,255510,338593,252937,5.82,0.51,74.7,59,210,60,150,252996,0.08,2785,13.26 ,6395,4568,1827,4513,1899,1.43076081,0.004740911
2897,王道銀行,2016/08,表現穩健,14.36,23905,258990,29515,1291,144300,167173,133079,11.4,0.5,79.61,390,390,390,0,133469,0.29,2287,5.86 ,7920,7556,364,1415,681,2.016483516,0.00140546
5827,華泰銀行,2016/08,風險承受度稍弱,12.05,7200,150125,8704,151,92407,127926,91203,5.8,0.1,71.29,791,1173,765,408,91994,1.28,1384,1.18 ,3201,2948,253,1661,633,4.063241107,0.001685262
